symbol,value
š,0
Ÿ,1
‰,2
‰,3
€,4
‘,5
ˆ,6
…,7
ž,8
Œ,9
š,10
‘,11
—,12
›,13
œ,14
†,15
–,16
Ž,17
ƒ,18
‚,19
‘,20
†,21
‘,22
“,23
‡,24
Œ,25
‘,26
‰,27
”,28
‡,29
‘,30
™,31
ž,32
ž,33
–,34
Ž,35
‹,36
€,37
ž,38
ˆ,39
˜,40
Š,41
‚,42
‘,43
‰,44
“,45
†,46
€,47
‰,48
š,49
ƒ,50
“,51
”,52
‰,53
‹,54
Œ,55
‚,56
€,57
—,58
™,59
†,60
‡,61
ˆ,62
…,63
‘,64
‡,65
˜,66
•,67
Š,68
–,69
†,70
—,71
“,72
›,73
›,74
†,75
ƒ,76
Ÿ,77
”,78
Ž,79
Œ,80
–,81
‘,82
€,83
Š,84
“,85
€,86
ž,87
œ,88
Œ,89
€,90
“,91
‡,92
œ,93
ƒ,94
“,95
‹,96
œ,97
‰,98
™,99
Ž,100
™,101
”,102
‘,103
ž,104
ž,105
š,106
•,107
–,108
œ,109
œ,110
•,111
“,112
ƒ,113
˜,114
‡,115
Œ,116
‡,117
‘,118
‘,119
š,120
š,121
„,122
ž,123
–,124
Ÿ,125
–,126
‹,127
—,128
—,129
ž,130
‹,131
”,132
‡,133
…,134
†,135
ƒ,136
›,137
˜,138
”,139
ˆ,140
ˆ,141
’,142
“,143
…,144
Š,145
†,146
™,147
—,148
“,149
‰,150
•,151
‚,152
„,153
˜,154
Ÿ,155
•,156
ˆ,157
„,158
ˆ,159
‚,160
„,161
š,162
Ž,163
ˆ,164
’,165
š,166
”,167
Ž,168
Œ,169
Š,170
œ,171
‰,172
€,173
˜,174
ž,175
ž,176
€,177
€,178
ƒ,179
…,180
–,181
™,182
–,183
‡,184
š,185
Œ,186
”,187
”,188
œ,189
”,190
–,191
›,192
•,193
‘,194
Œ,195
˜,196
ˆ,197
ˆ,198
œ,199
†,200
›,201
™,202
Ž,203
…,204
Ž,205
•,206
™,207
š,208
…,209
Ž,210
Ÿ,211
ƒ,212
š,213
‹,214
†,215
€,216
…,217
Ÿ,218
‹,219
˜,220
š,221
…,222
–,223
€,224
•,225
ž,226
œ,227
‹,228
š,229
‰,230
™,231
‘,232
Ž,233
Ÿ,234
Š,235
Ž,236
š,237
‡,238
—,239
•,240
Œ,241
–,242
›,243
†,244
Ž,245
ˆ,246
‡,247
Ž,248
’,249
†,250
Ÿ,251
–,252
Ž,253
„,254
ƒ,255
‰,256
…,257
”,258
†,259
Ÿ,260
Ÿ,261
œ,262
—,263
–,264
‹,265
•,266
Ÿ,267
–,268
…,269
›,270
”,271
’,272
‚,273
Ÿ,274
Ÿ,275
‚,276
ž,277
”,278
†,279
€,280
›,281
‘,282
‡,283
Š,284
”,285
ž,286
›,287
ƒ,288
’,289
š,290
š,291
š,292
„,293
—,294
”,295
˜,296
ˆ,297
‹,298
•,299
–,300
‹,301
ˆ,302
˜,303
•,304
˜,305
š,306
œ,307
Ž,308
Ž,309
˜,310
Š,311
”,312
„,313
Ž,314
ƒ,315
‚,316
š,317
•,318
“,319
‹,320
’,321
‹,322
Š,323
•,324
ƒ,325
Š,326
†,327
„,328
˜,329
‰,330
„,331
…,332
–,333
—,334
Š,335
ˆ,336
‡,337
Š,338
…,339
ƒ,340
˜,341
Š,342
„,343
Ž,344
™,345
˜,346
†,347
œ,348
‹,349
ž,350
•,351
˜,352
ž,353
Ž,354
œ,355
™,356
š,357
›,358
•,359
‡,360
‰,361
Œ,362
Š,363
‡,364
”,365
ƒ,366
š,367
€,368
‡,369
”,370
‚,371
Ÿ,372
ž,373
“,374
—,375
‚,376
€,377
‚,378
’,379
ƒ,380
š,381
›,382
‡,383
‚,384
Š,385
Ÿ,386
›,387
ˆ,388
ƒ,389
”,390
˜,391
–,392
”,393
ž,394
˜,395
›,396
•,397
‰,398
Œ,399
™,400
Ž,401
‹,402
•,403
Ž,404
ˆ,405
ž,406
”,407
’,408
‘,409
š,410
ˆ,411
‘,412
†,413
‡,414
ƒ,415
…,416
š,417
“,418
‘,419
…,420
†,421
…,422
„,423
œ,424
š,425
…,426
›,427
œ,428
Ÿ,429
›,430
Ž,431
†,432
›,433
—,434
š,435
†,436
‡,437
š,438
ž,439
Ÿ,440
ž,441
ž,442
š,443
”,444
€,445
“,446
Œ,447
—,448
‘,449
„,450
’,451
œ,452
›,453
—,454
„,455
›,456
›,457
™,458
–,459
™,460
…,461
“,462
‡,463
Ÿ,464
„,465
‚,466
ž,467
ƒ,468
‘,469
‚,470
‰,471
’,472
›,473
‡,474
Ÿ,475
‚,476
‰,477
„,478
œ,479
˜,480
‡,481
‡,482
‡,483
ž,484
™,485
œ,486
–,487
‚,488
˜,489
”,490
š,491
‡,492
–,493
‡,494
ƒ,495
Š,496
ž,497
€,498
ž,499
